Name,OPS+,Name-additional
CJ Abrams*,95,abramcj01
José Abreu,87,abreujo02
Wilyer Abreu*,132,abreuwi02
Ronald Acuna Jr.,168,acunaro01
Willy Adames,95,adamewi01
Jordyn Adams,-31,adamsjo03
Riley Adams,120,adamsri03
Ty Adcock,,adcocty01
Jo Adell,87,adelljo01
Ehire Adrianza#,-72,adriaeh01
Jesús Aguilar,89,aguilje01
Nick Ahmed,53,ahmedni01
Hanser Alberto,75,alberha01
Ozzie Albies#,124,albieoz01
Scott Alexander*,,alexasc02
Jorge Alfaro,31,alfarjo01
Jorge Alfaro,43,alfarjo01
Jorge Alfaro,5,alfarjo01
Greg Allen#,119,allengr01
Nick Allen,58,allenni02
Abraham Almonte#,-28,almonab01
Pete Alonso,122,alonspe01
José Altuve,151,altuvjo01
Jake Alu*,59,aluja01
Francisco Álvarez,95,alvarfr01
Yordan Álvarez*,170,alvaryo01
Jacob Amaya,22,amayaja01
Miguel Amaya,86,amayami01
Brian Anderson,86,anderbr06
Tim Anderson,60,anderti01
Elvis Andrus,81,andruel01
Miguel Andújar,108,andujmi01
Jonathan Aranda*,98,arandjo01
Jonathan Araúz#,34,arauzjo01
Orlando Arcia,98,arciaor01
Nolan Arenado,109,arenano01
Gabriel Arias,75,ariasga01
Randy Arozarena,120,arozara01
Luis Arráez*,133,arraelu01
Christian Arroyo,70,arroych01
José Azocar,78,azocajo01
Akil Baddoo*,86,baddoak01
Harrison Bader,69,baderha01
Harrison Bader,75,baderha01
Harrison Bader,18,baderha01
Ji Hwan Bae*,67,baeji01
Javier Báez,62,baezja01
Patrick Bailey#,77,bailepa01
Bryan Baker,,bakerbr01
Luken Baker,73,bakerlu01
Rylan Bannon,-100,bannory01
Scott Barlow,,barlosc01
Scott Barlow,,barlosc01
Austin Barnes,36,barneau01
Tucker Barnhart*,48,barnhtu01
Tres Barrera,-100,barretr01
José Barrero,67,garcijo02
Joey Bart,47,bartjo01
Osleivis Basabe,64,basabos01
Matthew Batten,101,battema01
Brett Baty*,65,batybr01
Jake Bauers*,87,bauerja01
Mike Baumann,,baumami01
Matt Beaty*,80,beatyma01
Matt Beaty*,12,beatyma01
Matt Beaty*,86,beatyma01
Josh Bell#,104,belljo02
Josh Bell#,96,belljo02
Josh Bell#,119,belljo02
Cody Bellinger*,133,bellico01
Brandon Belt*,136,beltbr01
Anthony Bemboom*,44,bemboan01
Andrew Benintendi*,87,beninan01
Will Benson*,130,bensowi01
José Berríos,,berrijo01
Jon Berti,103,bertijo01
Christian Bethancourt,74,bethach01
Mookie Betts,163,bettsmo01
Bo Bichette,123,bichebo01
Cavan Biggio*,98,biggica01
Charlie Blackmon*,107,blackch02
Dairon Blanco,111,blancda02
Travis Blankenhorn*,57,blanktr01
JJ Bleday*,91,bledajj01
Xander Bogaerts,120,bogaexa01
Alec Bohm,108,bohmal01
Sean Bouchard,165,bouchse01
Jackie Bradley Jr.*,10,bradlja02
Michael Brantley*,98,brantmi02
Matt Brash,,brashma01
Ryan Brasier,,brasiry01
Ryan Brasier,,brasiry01
Alex Bregman,122,bregmal01
Will Brennan*,83,brennwi02
Jonah Bride,45,bridejo01
Mike Brosseau,76,brossmi01
Seth Brown*,96,brownse01
Vidal Bruján#,25,brujavi01
Kris Bryant,76,bryankr01
J.B. Bukauskas,,bukaujb01
J.B. Bukauskas,,bukaujb01
Aaron Bummer*,,bummeaa01
Peyton Burdick,63,burdipe01
Jake Burger,120,burgeja01
Jake Burger,113,burgeja01
Jake Burger,130,burgeja01
Alec Burleson*,87,burleal01
Michael Busch*,45,buschmi02
Lawrence Butler*,64,butlela01
Byron Buxton,98,buxtoby01
José Caballero,90,cabaljo01
Trey Cabbage*,49,cabbatr01
Génesis Cabrera*,,cabrege01
Génesis Cabrera*,,cabrege01
Miguel Cabrera,86,cabremi01
Oswaldo Cabrera#,58,cabreos01
Kole Calhoun*,82,calhoko01
Willie Calhoun*,94,calhowi01
Alex Call,72,callal02
Johan Camargo#,49,camarjo01
Junior Caminero,75,caminju01
Luis Campusano,134,campulu01
Alexander Canario,143,canaral01
Jeimer Candelario#,119,candeje01
Jeimer Candelario#,125,candeje01
Jeimer Candelario#,103,candeje01
Mark Canha,108,canhama01
Mark Canha,100,canhama01
Mark Canha,120,canhama01
Yennier Cano,,canoye01
Dominic Canzone*,81,canzodo01
Dominic Canzone*,80,canzodo01
Dominic Canzone*,81,canzodo01
Conner Capel*,104,capelco01
Vinny Capra,31,capravi01
Víctor Caratini#,95,caratvi01
Dylan Carlson#,79,carlsdy01
Kerry Carpenter*,120,carpeke01
Matt Carpenter*,81,carpema01
Corbin Carroll*,134,carroco02
Evan Carter*,182,carteev01
Curt Casali,36,casalcu01
Triston Casas*,129,casastr01
Nick Castellanos,112,casteni01
Diego Castillo,-100,castidi02
