Name,Age,Tm,G,WAR▼,Salary
Mookie Betts,30,LAD,152,8.3,25416667
Ronald Acuna Jr.,25,ATL,159,8.2,17000000
Matt Olson*,29,ATL,162,7.4,21000000
Marcus Semien,32,TEX,162,7.4,26000000
Corey Seager*,29,TEX,119,6.9,35500000
Freddie Freeman*,33,LAD,161,6.5,27000000
Gunnar Henderson*,22,BAL,150,6.2,723200
Shohei Ohtani*,28,LAA,135,6,30000000
Francisco Lindor,29,NYM,160,6,34100000
Austin Riley,26,ATL,159,5.9,15000000
Ha-Seong Kim,27,SDP,152,5.8,7000000
Wander Franco,22,TBR,112,5.5,2454546
Fernando Tatis Jr.,24,SDP,141,5.5,7714285
Juan Soto*,24,SDP,162,5.5,23000000
Corbin Carroll*,22,ARI,155,5.4,1625000
Kyle Tucker*,26,HOU,157,5.4,5000000
Andrés Giménez*,24,CLE,153,5.3,1571429
Julio Rodríguez,22,SEA,155,5.3,6185715
Yandy Díaz,31,TBR,137,5.2,6000000
J.P. Crawford*,28,SEA,145,5.1,11000000
José Ramírez,30,CLE,156,5.1,14000000
Nico Hoerner,26,CHC,150,5.1,2525000
Luis Robert Jr.,25,CHW,145,5,9500000
Ketel Marte,29,ARI,150,4.9,11600000
Bo Bichette,25,TOR,135,4.9,3933333
Luis Arráez*,26,MIA,147,4.9,6100000
Alex Bregman,29,HOU,161,4.9,30500000
Dansby Swanson,29,CHC,147,4.8,14000000
Ozzie Albies,26,ATL,148,4.7,7000000
Yordan Álvarez*,26,HOU,114,4.6,7833333
Aaron Judge,31,NYY,106,4.5,40000000
Xander Bogaerts,30,SDP,155,4.4,25454545
Matt Chapman,30,TOR,140,4.4,12500000
Bobby Witt Jr.,23,KCR,158,4.4,745750
Cody Bellinger*,27,CHC,130,4.4,12500000
Gabriel Moreno,23,ARI,111,4.3,722500
Adley Rutschman,25,BAL,154,4.3,733900
Nolan Jones*,25,COL,106,4.3,
Bryson Stott*,25,PHI,151,4.3,734500
Adolis García,30,TEX,148,4.2,747760
Isaac Paredes,24,TBR,143,4.2,735000
Will Smith,28,LAD,126,4.1,5250000
Ke'Bryan Hayes,26,PIT,124,4,10000000
Sean Murphy,28,ATL,108,3.9,4000000
Brandon Nimmo*,30,NYM,152,3.9,18500000
Daulton Varsho*,26,TOR,158,3.9,3050000
Kevin Kiermaier*,33,TOR,129,3.9,9000000
Jeremy Peña,25,HOU,150,3.8,754900
TJ Friedl*,27,CIN,138,3.8,722500
Christian Walker,32,ARI,157,3.8,6500000
William Contreras,25,MIL,141,3.8,739000
Josh Lowe*,25,TBR,135,3.7,723200
Bryce Harper*,30,PHI,126,3.7,27538462
Matt McLain,23,CIN,89,3.7,
Chas McCormick,28,HOU,115,3.6,752500
Christian Yelich*,31,MIL,144,3.6,26000000
J.T. Realmuto,32,PHI,135,3.6,23875000
Steven Kwan*,25,CLE,158,3.6,727300
Randy Arozarena,28,TBR,151,3.5,4150000
Rafael Devers*,26,BOS,153,3.5,17500000
Brandon Marsh*,25,PHI,133,3.4,734500
Michael Harris II*,22,ATL,138,3.4,5000000
Willson Contreras,31,STL,125,3.4,10000000
Trea Turner,30,PHI,155,3.4,27272727
Paul Goldschmidt,35,STL,154,3.4,26000000
CJ Abrams*,22,WSN,151,3.4,724200
Lars Nootbaar*,25,STL,117,3.3,732400
Lane Thomas,27,WSN,156,3.3,2200000
James Outman*,26,LAD,151,3.3,722500
Marcell Ozuna,32,ATL,144,3.3,18000000
Ryan Jeffers,26,MIN,96,3.3,741650
Anthony Volpe,22,NYY,159,3.3,720000
Cal Raleigh,26,SEA,145,3.2,758300
Pete Alonso,28,NYM,154,3.2,14500000
Yainer Diaz,24,HOU,104,3.2,720300
Anthony Santander,28,BAL,153,3,7400000
Ian Happ,28,CHC,158,3,10850000
Willy Adames,27,MIL,149,3,8700000
Lourdes Gurriel Jr.,29,ARI,145,3,5828571
Ryan McMahon*,28,COL,152,2.9,9000000
Gleyber Torres,26,NYY,158,2.9,9950000
Spencer Steer,25,CIN,156,2.9,720000
Manny Machado,30,SDP,138,2.9,17090909
Jeimer Candelario,29,2TM,140,2.9,5000000
Mike Trout,31,LAA,82,2.9,37116667
Jonah Heim,28,TEX,131,2.9,745660
Max Kepler*,30,MIN,130,2.9,8500000
Seiya Suzuki,28,CHC,138,2.8,18000000
José Altuve,33,HOU,90,2.8,29000000
Cedric Mullins*,28,BAL,116,2.8,4100000
Luke Raley*,28,TBR,118,2.8,722300
Mauricio Dubón,28,HOU,132,2.7,1400000
Willi Castro,26,MIN,124,2.7,1800000
Carlos Santana,37,2TM,146,2.7,6750000
LaMonte Wade Jr.*,29,SFG,135,2.7,1375000
Max Muncy*,32,LAD,135,2.6,13500000
Wilmer Flores,31,SFG,126,2.6,6500000
Zack Gelof,23,OAK,69,2.6,
Edouard Julien*,24,MIN,109,2.6,
Alex Verdugo*,27,BOS,142,2.6,6300000
Leody Taveras,24,TEX,143,2.6,733445
Nathaniel Lowe*,27,TEX,161,2.6,4050000
Jake Burger,27,2TM,141,2.5,
Austin Hays,27,BAL,144,2.5,3200000
Johan Rojas,22,PHI,59,2.5,
Ezequiel Tovar,21,COL,153,2.5,722000
Josh Naylor*,26,CLE,121,2.5,3350000
Royce Lewis,24,MIN,58,2.4,
Nolan Gorman*,23,STL,119,2.4,726950
Bryan Reynolds,28,PIT,145,2.4,7000000
Mike Tauchman*,32,CHC,108,2.4,
Jon Berti,33,MIA,133,2.4,2100000
José Caballero,26,SEA,104,2.4,
Nolan Arenado,32,STL,144,2.4,35000000
Josh Jung,25,TEX,122,2.4,721485
Jeff McNeil*,31,NYM,156,2.4,6250000
Gary Sánchez,30,2TM,75,2.4,1500000
Mike Yastrzemski*,32,SFG,106,2.4,6100000
Eugenio Suárez,31,SEA,162,2.3,11285715
Ryan Noda*,27,OAK,128,2.3,
Geraldo Perdomo,23,ARI,144,2.3,738600
Thairo Estrada,27,SFG,120,2.3,2250000
Triston Casas*,23,BOS,132,2.2,723500
Jack Suwinski*,24,PIT,144,2.2,725000
Brent Rooker,28,OAK,137,2.2,725000
Matt Wallner*,25,MIN,76,2.2,
Connor Wong,27,BOS,126,2.2,722000
Mark Canha,34,2TM,139,2.2,11500000
Mickey Moniak*,25,LAA,85,2.2,
Mitch Garver,32,TEX,87,2.1,3900000
Teoscar Hernández,30,SEA,160,2.1,14000000
Tommy Edman,28,STL,137,2.1,4200000
Jarren Duran*,26,BOS,102,2.1,
Justin Turner,38,BOS,146,2.1,8300000
Brandon Lowe*,28,TBR,109,2.1,5250000
George Springer,33,TOR,154,2.1,24166667
Kyle Isbel*,26,KCR,91,2.1,727500
Ryan Mountcastle,26,BAL,115,2.1,738400
Harold Ramírez,28,TBR,122,2.1,2200000
Jared Triolo,25,PIT,54,2.1,
Brandon Belt*,35,TOR,103,2,9300000
Jarred Kelenic*,23,SEA,105,2,729400
Taylor Walls,26,TBR,99,2,727600
Trent Grisham*,26,SDP,153,2,3175000
Vladimir Guerrero Jr.,24,TOR,156,2,14500000
Andy Ibáñez,30,DET,114,2,
Jorge Polanco,29,MIN,80,2,7500000
Kerry Carpenter*,25,DET,118,1.9,723700
Alejandro Kirk,24,TOR,123,1.9,767300
Jason Heyward*,33,LAD,124,1.9,720000
Brandon Drury,30,LAA,125,1.9,8500000
Michael A. Taylor,32,MIN,129,1.9,4500000
J.D. Martinez,35,LAD,113,1.9,10000000
Brendan Donovan*,26,STL,95,1.9,728600
Riley Greene*,22,DET,99,1.9,727800
Luis Rengifo,26,LAA,126,1.9,2300000
Stone Garrett,27,WSN,89,1.9,
Ramón Laureano,28,2TM,105,1.8,3550000
Davis Schneider,24,TOR,35,1.8,
Nicky Lopez*,28,2TM,93,1.8,3700000
Jorge Soler,31,MIA,137,1.8,15000000
Ramón Urías,29,BAL,116,1.8,734700
Kyle Farmer,32,MIN,120,1.7,5585000
Adam Frazier*,31,BAL,141,1.7,8000000
José Siri,27,TBR,101,1.7,731600
Freddy Fermin,28,KCR,70,1.7,
Jesús Sánchez*,25,MIA,125,1.7,738000
Yan Gomes,35,CHC,116,1.7,6000000
Donovan Solano,35,MIN,134,1.7,2000000
Taylor Ward,29,LAA,97,1.7,2750000
Will Benson*,25,CIN,108,1.6,720000
Danny Jansen,28,TOR,86,1.6,3500000
Zach Neto,22,LAA,84,1.6,
Orlando Arcia,28,ATL,139,1.6,2300000
Adam Duvall,34,BOS,92,1.6,7000000
Evan Carter*,20,TEX,23,1.6,
Brice Turang*,23,MIL,137,1.6,
Jake Meyers,27,HOU,112,1.6,732000
Bo Naylor*,23,CLE,67,1.5,
Tommy Pham,35,2TM,129,1.5,6000000
Nick Castellanos,31,PHI,157,1.5,20000000
Andrew McCutchen,36,PIT,112,1.5,5000000
Matt Vierling,26,DET,134,1.5,727100
Travis Jankowski*,32,TEX,107,1.4,1250000
Chris Taylor,32,LAD,117,1.4,15000000
Carlos Correa,28,MIN,135,1.4,33333333
Elías Díaz,32,COL,141,1.4,5500000
Jonathan India,26,CIN,119,1.4,760000
Masataka Yoshida*,29,BOS,140,1.4,15600000
