Name,wOBA,xwOBA
Tucker Barnhart,0.250,0.234
Jose Trevino,0.252,0.279
Kevin Pillar,0.280,0.295
Donovan Solano,0.338,0.351
Michael A. Taylor,0.308,0.306
Mike Tauchman,0.330,0.345
Elehuris Montero,0.306,0.254
Zach Remillard,0.270,0.219
Luis Urias,0.298,0.297
Trent Grisham,0.299,0.322
Jeimer Candelario,0.346,0.318
Nico Hoerner,0.322,0.310
Will Brennan,0.285,0.305
Jace Peterson,0.275,0.287
Yasmani Grandal,0.288,0.282
Nick Gordon,0.213,0.290
Yainer Diaz,0.354,0.360
Corbin Carroll,0.370,0.344
Austin Wynns,0.245,0.224
Oscar Gonzalez,0.239,0.271
Anthony Santander,0.340,0.319
Will Smith,0.345,0.352
Connor Wong,0.292,0.274
Josh Lowe,0.354,0.341
Jeff McNeil,0.314,0.294
Christian Walker,0.351,0.339
Dansby Swanson,0.325,0.345
Tony Kemp,0.276,0.297
Cristian Pache,0.320,0.315
Miguel Andujar,0.330,0.319
Miguel Vargas,0.295,0.304
Jake McCarthy,0.289,0.293
Randal Grichuk,0.333,0.323
Rene Pinto,0.306,0.329
Randy Arozarena,0.347,0.351
DJ Stewart,0.358,0.339
Stone Garrett,0.344,0.345
Matt Olson,0.413,0.391
Wil Myers,0.243,0.249
Andrew Velazquez,0.249,0.222
Kevin Smith,0.236,0.237
Chris Taylor,0.323,0.312
Gleyber Torres,0.346,0.362
Andrew Knizner,0.306,0.286
Eloy Jimenez,0.325,0.314
Brendan Donovan,0.345,0.354
Emmanuel Rivera,0.295,0.312
Triston Casas,0.367,0.370
Alex Kirilloff,0.343,0.334
Luis Arraez,0.369,0.354
Gabriel Moreno,0.325,0.314
LaMonte Wade Jr.,0.347,0.363
Daulton Varsho,0.293,0.302
Patrick Bailey,0.282,0.313
Josh Harrison,0.248,0.278
Yan Gomes,0.312,0.321
Josh Naylor,0.354,0.346
Amed Rosario,0.297,0.305
Oscar Colas,0.249,0.264
Matt Carpenter,0.293,0.309
Christian Encarnacion-Strand,0.346,0.346
Yonathan Daza,0.286,0.253
Ketel Marte,0.361,0.342
Julio Rodriguez,0.347,0.345
Josh Rojas,0.284,0.278
Kerry Carpenter,0.347,0.336
Ryan McMahon,0.325,0.335
Nick Fortes,0.251,0.266
Casey Schmitt,0.254,0.282
Spencer Torkelson,0.326,0.352
Christian Bethancourt,0.271,0.266
Justin Turner,0.346,0.336
Alex Call,0.280,0.296
Luis Guillorme,0.269,0.236
Mookie Betts,0.416,0.407
Gary Sanchez,0.329,0.340
Jon Berti,0.325,0.324
Byron Buxton,0.311,0.316
Manuel Margot,0.299,0.301
Andrew Benintendi,0.299,0.310
Aaron Hicks,0.326,0.282
Brandon Crawford,0.260,0.294
William Contreras,0.357,0.335
Connor Joe,0.332,0.329
Brandon Drury,0.339,0.318
Santiago Espinal,0.285,0.293
Dominic Fletcher,0.340,0.263
Charlie Blackmon,0.350,0.339
Marcus Semien,0.354,0.333
Austin Hays,0.330,0.309
Owen Miller,0.292,0.288
Jesus Aguilar,0.282,0.247
Max Kepler,0.348,0.362
Zack Gelof,0.357,0.333
Tyler Freeman,0.290,0.315
Nick Madrigal,0.294,0.294
Josh Donaldson,0.284,0.325
J.D. Martinez,0.369,0.369
Corey Dickerson,0.277,0.288
Martin Maldonado,0.266,0.267
Alec Bohm,0.329,0.343
Xander Bogaerts,0.343,0.318
Ian Happ,0.345,0.350
DJ LeMahieu,0.315,0.322
Bryson Stott,0.323,0.309
Raimel Tapia,0.293,0.301
Brayan Rocchio,0.263,0.204
Lars Nootbaar,0.344,0.356
Shea Langeliers,0.290,0.300
Bo Bichette,0.349,0.363
CJ Abrams,0.306,0.304
Jake Fraley,0.338,0.328
Andruw Monasterio,0.302,0.308
Brent Rooker Jr.,0.348,0.343
Trevor Story,0.249,0.266
Xavier Edwards,0.295,0.264
Josh Bell,0.323,0.345
Harrison Bader,0.271,0.291
Freddie Freeman,0.411,0.408
Harold Ramirez,0.349,0.319
Kolten Wong,0.236,0.262
Lawrence Butler,0.251,0.289
Shohei Ohtani,0.433,0.426
Whit Merrifield,0.304,0.276
Miguel Rojas,0.271,0.288
Austin Barnes,0.229,0.273
Yoan Moncada,0.315,0.314
Tommy Pham,0.332,0.361
Riley Greene,0.344,0.365
Masataka Yoshida,0.339,0.325
Seiya Suzuki,0.358,0.357
David Peralta,0.290,0.309
Elly De La Cruz,0.305,0.303
Dominic Smith,0.306,0.320
Fernando Tatis Jr.,0.332,0.364
Carlos Perez,0.285,0.314
Michael Stefanic,0.332,0.298
Eric Hosmer,0.269,0.247
Jake Cronenworth,0.301,0.305
Noelvi Marte,0.357,0.340
Travis Jankowski,0.312,0.302
Chad Wallach,0.275,0.292
Pete Alonso,0.346,0.368
Nathaniel Lowe,0.340,0.339
Jose Ramirez,0.346,0.359
Jake Cave,0.271,0.277
Jazz Chisholm Jr.,0.325,0.307
Luis Campusano,0.364,0.353
Robbie Grossman,0.323,0.306
Kyle Higashioka,0.293,0.309
Marcell Ozuna,0.381,0.396
Brice Turang,0.262,0.274
Matt McLain,0.370,0.332
Taylor Walls,0.287,0.277
Geraldo Perdomo,0.319,0.275
Curtis Mead,0.302,0.273
Ramon Laureano,0.298,0.307
Brett Baty,0.266,0.300
Dylan Carlson,0.293,0.318
Yuli Gurriel,0.287,0.273
Brandon Lowe,0.334,0.341
AJ Pollock,0.227,0.267
Trea Turner,0.333,0.330
Ryan Noda,0.342,0.334
Daniel Vogelbach,0.327,0.324
Francisco Mejia,0.280,0.243
Myles Straw,0.268,0.272
J.P. Crawford,0.359,0.340
Kyle Isbel,0.286,0.289
Jake Marisnick,0.294,0.277
Christian Vazquez,0.264,0.268
Chas McCormick,0.362,0.341
Rafael Devers,0.359,0.380
Leody Taveras,0.316,0.319
Miguel Amaya,0.310,0.332
Jonah Heim,0.324,0.324
Ozzie Albies,0.358,0.340
Ha-Seong Kim,0.330,0.313
Mike Trout,0.368,0.389
Ryan McKenna,0.298,0.276
Nick Martini,0.382,0.352
Austin Hedges,0.209,0.253
Carlos Correa,0.309,0.330
Trevor Larnach,0.313,0.323
Ildemaro Vargas,0.292,0.303
Jose Altuve,0.393,0.331
Joey Bart,0.239,0.245
Jose Azocar,0.280,0.308
Francisco Lindor,0.346,0.346
James Outman,0.344,0.325
Brian Anderson,0.299,0.316
Christian Yelich,0.353,0.358
Jason Delay,0.296,0.263
Alec Burleson,0.300,0.337
Joey Wiemer Jr.,0.284,0.289
Jose Miranda,0.252,0.281
Richie Palacios,0.346,0.305
Masyn Winn,0.211,0.250
Austin Nola,0.220,0.266
Luis Matos,0.295,0.304
Brandon Nimmo,0.359,0.355
Mike Zunino,0.261,0.240
Aledmys Diaz,0.268,0.271
Matt Thaiss,0.295,0.331
Lourdes Gurriel Jr.,0.329,0.324
Andrew Vaughn,0.321,0.319
Orlando Arcia,0.321,0.307
Joey Wendle,0.242,0.263
Harold Castro,0.258,0.263
Joey Gallo,0.320,0.296
Blake Perkins,0.303,0.279
Taylor Ward,0.329,0.338
Christian Arroyo,0.274,0.273
Freddy Fermin,0.333,0.333
Rowdy Tellez,0.288,0.306
Dominic Canzone,0.282,0.326
Nick Pratto,0.292,0.278
Sean Murphy,0.366,0.395
Liover Peguero,0.284,0.270
MJ Melendez Jr.,0.310,0.325
Jose Siri,0.319,0.298
Omar Narvaez,0.259,0.310
Tyler Stephenson,0.305,0.314
Edouard Julien,0.366,0.345
Eduardo Escobar,0.267,0.244
Billy McKinney,0.315,0.346
Vaughn Grissom,0.289,0.304
Zack Short,0.281,0.297
Aaron Judge,0.420,0.461
Steven Kwan,0.313,0.317
Oswaldo Cabrera,0.256,0.259
Brandon Belt,0.369,0.336
Pablo Reyes,0.315,0.310
Jonathan Davis,0.298,0.292
Matt Duffy,0.281,0.298
Avisail Garcia,0.241,0.291
Trayce Thompson,0.266,0.275
Tim Anderson,0.260,0.279
Cedric Mullins II,0.311,0.289
J.T. Realmuto,0.324,0.334
Ezequiel Duran,0.330,0.320
Jorge Polanco,0.340,0.348
Mike Ford,0.343,0.314
Pavin Smith,0.293,0.328
Nolan Arenado,0.327,0.320
Giancarlo Stanton,0.297,0.325
Manny Machado,0.334,0.332
Nick Maton,0.268,0.285
Jonathan Aranda,0.312,0.276
Ramon Urias,0.310,0.281
Luis Rengifo,0.339,0.323
Logan O'Hoppe,0.337,0.346
Wander Franco,0.349,0.364
Garrett Stubbs,0.252,0.207
Jarred Kelenic,0.321,0.333
Kevin Newman,0.296,0.311
Eric Haase,0.233,0.253
Jake Rogers,0.312,0.321
Jesse Winker,0.269,0.287
Cavan Biggio,0.318,0.314
Jordan Walker,0.341,0.332
Matt Chapman,0.328,0.337
Eugenio Suarez,0.313,0.324
Cam Gallagher,0.145,0.173
Gavin Sheets,0.261,0.267
Joey Meneses,0.314,0.288
Oswald Peraza,0.246,0.281
Jordan Diaz,0.278,0.285
Rob Refsnyder,0.314,0.342
Alex Verdugo,0.322,0.331
Jake Alu,0.256,0.283
Seby Zavala,0.239,0.246
Michael Harris II,0.345,0.357
Brandon Marsh,0.358,0.322
Curt Casali,0.239,0.281
Josh Jung,0.334,0.337
Jose Abreu,0.295,0.314
Austin Slater,0.330,0.338
Reese McGuire,0.293,0.242
Jean Segura,0.250,0.281
Willi Castro,0.327,0.304
Hunter Renfroe,0.308,0.289
Romy Gonzalez,0.244,0.269
Matt Wallner,0.377,0.374
Jacob Young,0.294,0.279
Jorge Mateo,0.265,0.289
Austin Wells,0.309,0.373
Salvador Perez,0.302,0.325
Riley Adams,0.344,0.281
Jonathan India,0.327,0.339
Bryan Reynolds,0.338,0.360
Nick Senzel,0.302,0.296
Jeremy Pena,0.310,0.305
Andres Gimenez,0.309,0.297
Anthony Rendon,0.312,0.357
Isiah Kiner-Falefa,0.286,0.295
Travis d'Arnaud,0.297,0.326
Zach Neto,0.302,0.312
David Fry,0.321,0.331
Vinnie Pasquantino,0.327,0.350
Davis Schneider,0.424,0.355
George Springer III,0.320,0.332
C.J. Cron,0.312,0.332
Miguel Cabrera,0.299,0.301
Sal Frelick,0.309,0.296
Paul Goldschmidt,0.350,0.367
Garrett Hampson,0.323,0.291
Alek Thomas,0.278,0.291
Jose Herrera,0.256,0.260
Lenyn Sosa,0.241,0.294
Jordan Westburg,0.309,0.315
Jake Burger,0.349,0.359
Kyle Schwarber,0.350,0.364
Keibert Ruiz,0.310,0.322
Tyler O'Neill,0.313,0.337
Alex Bregman,0.351,0.351
Adley Rutschman,0.352,0.373
Brenton Doyle,0.257,0.258
Luke Raley,0.353,0.327
Ronny Mauricio,0.284,0.287
Joc Pederson,0.331,0.366
Blake Sabol,0.303,0.280
Javier Baez,0.261,0.283
Matt Vierling,0.315,0.322
Nolan Jones,0.395,0.362
J.D. Davis,0.321,0.323
Thairo Estrada,0.316,0.292
Seth Brown,0.298,0.322
Ji Hwan Bae,0.272,0.264
Endy Rodriguez,0.271,0.294
Nick Gonzales,0.268,0.257
Carson Kelly,0.255,0.245
Nick Ahmed,0.247,0.263
Jason Heyward,0.348,0.319
Adolis Garcia,0.354,0.366
Mitch Haniger,0.274,0.316
Johan Rojas,0.335,0.267
Starling Marte,0.278,0.312
Luis Robert Jr.,0.358,0.347
Mark Vientos,0.267,0.304
Alejandro Kirk,0.308,0.320
Sam Haggerty,0.321,0.324
Michael Conforto,0.315,0.330
Ronald Acuna Jr.,0.428,0.460
Ji Man Choi,0.267,0.349
Luis Garcia,0.297,0.308
Eddie Rosario,0.322,0.317
Drew Waters,0.296,0.313
Kyle Farmer,0.316,0.313
Rougned Odor,0.291,0.320
Michael Massey,0.283,0.319
Elias Diaz,0.314,0.296
Kole Calhoun,0.286,0.303
Matt Mervis,0.239,0.317
Cody Bellinger,0.370,0.327
Hunter Dozier,0.247,0.241
Jon Singleton,0.244,0.298
Victor Robles,0.338,0.322
Joshua Palacios,0.297,0.318
Josh H. Smith,0.287,0.321
Dairon Blanco,0.333,0.304
Jurickson Profar,0.304,0.306
David Fletcher,0.276,0.250
Luke Maile,0.307,0.315
Isaac Paredes,0.362,0.315
Bryce Harper,0.384,0.399
Ryan O'Hearn,0.339,0.324
Ke'Bryan Hayes,0.324,0.324
Gio Urshela,0.307,0.289
Adam Frazier,0.302,0.301
Mitch Garver,0.374,0.365
Spencer Steer,0.355,0.333
Gunnar Henderson,0.346,0.346
Royce Lewis,0.393,0.351
Brett Wisely,0.222,0.238
Tucupita Marcano,0.275,0.292
Jorge Soler,0.361,0.374
Joey Votto,0.326,0.298
Jackie Bradley Jr.,0.180,0.246
Nolan Gorman,0.345,0.354
Kyle Tucker,0.372,0.386
Ryan Mountcastle,0.333,0.356
Alika Williams,0.238,0.244
Cade Marlowe,0.327,0.274
Brendan Rodgers,0.307,0.321
Christopher Morel,0.347,0.343
Zach McKinstry,0.289,0.312
Corey Seager,0.419,0.412
Danny Jansen,0.336,0.316
Stuart Fairchild,0.312,0.314
Michael Toglia,0.225,0.255
Jose Barrero,0.276,0.277
Corey Julks,0.286,0.295
Elvis Andrus,0.290,0.267
Juan Soto,0.395,0.408
Edward Olivares,0.329,0.338
Mike Yastrzemski,0.333,0.325
Nick Allen,0.245,0.250
Cal Raleigh,0.326,0.330
Teoscar Hernandez,0.317,0.336
Bryan De La Cruz,0.309,0.331
Willy Adames,0.311,0.335
Ezequiel Tovar,0.298,0.291
Enmanuel Valdez,0.328,0.305
Ryan Jeffers,0.369,0.333
Jesus Sanchez,0.334,0.353
Jake Bauers,0.297,0.336
Mark Canha,0.333,0.323
Andy Ibanez,0.320,0.331
Dylan Moore,0.317,0.317
TJ Friedl Jr.,0.353,0.289
Andrew McCutchen,0.345,0.353
Michael Chavis,0.273,0.255
Jose Caballero,0.305,0.299
Jack Suwinski,0.341,0.346
Jonah Bride,0.237,0.321
Osleivis Basabe,0.262,0.258
James McCann,0.279,0.319
Willie Calhoun,0.307,0.305
Francisco Alvarez,0.310,0.305
Parker Meadows,0.308,0.325
Paul DeJong,0.266,0.278
Kevin Kiermaier,0.320,0.300
Bobby Witt Jr.,0.343,0.369
Kris Bryant,0.302,0.323
Miles Mastrobuoni,0.275,0.302
Rafael Ortega,0.288,0.283
Will Benson,0.369,0.321
Gabriel Arias,0.276,0.304
Luken Baker,0.285,0.320
Trey Mancini III,0.280,0.272
Alfonso Rivas III,0.313,0.282
Akil Baddoo,0.299,0.301
Alan Trejo,0.277,0.276
Henry Davis,0.287,0.291
JJ Bleday,0.297,0.298
Nolan Schanuel,0.336,0.350
Patrick Wisdom,0.333,0.339
Adam Duvall,0.347,0.304
Maikel Garcia,0.299,0.319
Garrett Cooper,0.313,0.318
Nicky Lopez,0.288,0.292
Mauricio Dubon,0.311,0.303
Carter Kieboom,0.277,0.252
Tom Murphy,0.367,0.351
Esteury Ruiz,0.290,0.271
Kody Clemens,0.281,0.271
Bo Naylor,0.347,0.309
Hanser Alberto,0.279,0.274
Rodolfo Castro,0.277,0.268
Jared Triolo,0.350,0.324
Jacob Stallings,0.256,0.262
Anthony Rizzo,0.312,0.319
Jake Meyers,0.297,0.283
Yandy Diaz,0.402,0.383
Max Muncy,0.344,0.364
Tyler Soderstrom,0.216,0.273
Jared Walsh,0.222,0.225
Mickey Moniak,0.339,0.306
Wilmer Flores,0.368,0.333
Enrique Hernandez,0.282,0.272
Nelson Cruz Jr.,0.291,0.297
Tommy Edman,0.306,0.312
David Villar,0.244,0.306
Brett Sullivan,0.232,0.246
Victor Caratini,0.312,0.310
Nick Castellanos,0.335,0.320
Mike Moustakas,0.294,0.270
Jarren Duran,0.354,0.319
Yu Chang,0.236,0.258
Tyler Nevin,0.282,0.305
Lane Thomas,0.334,0.319
Carlos Santana,0.323,0.308
Austin Riley,0.363,0.365
Jonathan Schoop,0.249,0.276
Vladimir Guerrero Jr.,0.340,0.375
Willson Contreras,0.358,0.373
