quarter,minute,second,time_seconds
2,12,5,725
2,3,53,233
2,3,15,195
2,0,5,5
2,0,4,4
2,0,0,0
3,2,13,133
3,2,10,130
3,1,44,104
2,5,42,342
2,5,36,336
2,1,4,64
2,1,1,61
2,0,55,55
2,0,50,50
2,0,23,23
4,1,13,73
3,5,4,304
3,4,6,246
4,1,17,77
1,5,52,352
4,7,8,428
4,3,42,222
1,3,31,211
1,2,52,172
1,2,45,165
1,2,34,154
2,1,12,72
2,0,22,22
3,10,57,657
3,10,25,625
3,9,39,579
3,5,50,350
2,1,15,75
2,0,54,54
4,9,49,589
3,15,0,900
3,14,51,891
3,14,14,854
2,14,49,889
2,0,21,21
4,2,0,120
3,4,52,292
1,11,52,712
2,13,37,817
2,12,52,772
2,12,10,730
2,11,29,689
1,4,18,258
1,3,40,220
1,2,53,173
1,2,12,132
2,10,22,622
2,9,42,582
4,12,5,725
4,11,17,677
4,10,33,633
4,9,45,585
4,8,58,538
4,8,16,496
4,7,34,454
2,13,15,795
2,12,57,777
2,11,45,705
2,11,1,661
2,10,17,617
2,0,42,42
2,0,32,32
2,0,28,28
2,0,24,24
3,0,0,0
4,14,26,866
4,14,22,862
2,11,30,690
2,11,15,675
2,10,40,640
2,10,4,604
3,13,57,837
3,13,29,809
3,1,49,109
3,5,27,327
3,4,47,287
3,4,18,258
4,1,42,102
1,2,47,167
1,1,42,102
1,0,56,56
2,11,31,691
2,10,51,651
2,10,5,605
2,4,51,291
2,4,11,251
2,4,8,248
3,10,11,611
3,9,25,565
3,9,8,548
4,1,30,90
4,1,21,81
1,0,50,50
1,0,11,11
1,0,0,0
2,15,0,900
2,14,39,879
2,13,59,839
3,5,42,342
3,4,55,295
3,4,51,291
3,4,9,249
3,2,28,148
3,1,46,106
3,1,40,100
3,1,34,94
4,0,52,52
4,0,46,46
2,2,40,160
2,2,0,120
4,11,15,675
1,13,22,802
1,12,41,761
1,12,7,727
1,11,27,687
4,3,37,217
4,2,54,174
2,7,22,442
2,12,47,767
2,12,44,764
2,12,39,759
2,11,50,710
2,11,8,668
2,9,50,590
2,10,16,616
2,9,55,595
4,10,18,618
3,11,57,717
3,11,49,709
3,11,28,688
3,10,47,647
1,15,0,900
1,12,54,774
1,12,12,732
1,11,29,689
1,10,0,600
1,9,57,597
1,9,31,571
1,9,11,551
1,8,39,519
1,8,15,495
1,7,36,456
2,6,42,402
2,5,56,356
2,5,18,318
2,4,44,284
2,4,39,279
2,4,27,267
4,0,37,37
4,7,3,423
4,6,59,419
4,6,29,389
2,12,38,758
2,11,14,674
3,4,22,262
2,1,51,111
3,7,58,478
1,10,5,605
2,13,46,826
2,2,21,141
3,2,56,176
1,0,54,54
1,0,46,46
3,9,41,581
2,6,12,372
4,12,50,770
4,5,28,328
2,4,41,281
2,3,54,234
2,3,13,193
2,2,33,153
4,14,55,895
4,14,19,859
5,3,12,192
2,14,19,859
4,0,49,49
4,0,36,36
4,0,31,31
2,1,16,76
3,8,9,489
4,4,52,292
2,3,45,225
2,3,7,187
2,2,29,149
4,2,55,175
4,2,9,129
2,2,43,163
2,2,20,140
4,1,15,75
1,1,39,99
1,1,34,94
3,7,18,438
4,11,13,673
4,10,29,629
4,9,55,595
4,7,26,446
4,6,48,408
4,12,33,753
4,12,28,748
4,12,21,741
4,2,46,166
2,14,3,843
2,13,27,807
2,7,37,457
2,7,1,421
2,1,48,108
2,0,27,27
3,3,28,208
3,2,47,167
3,2,12,132
3,1,33,93
4,12,44,764
4,9,40,580
4,8,27,507
4,8,0,480
4,7,37,457
4,1,8,68
4,3,19,199
4,2,34,154
1,3,22,202
1,2,42,162
1,2,1,121
3,4,23,263
1,1,1,61
2,5,6,306
3,7,35,455
3,4,29,269
3,3,43,223
3,2,19,139
3,1,35,95
4,1,55,115
4,1,50,110
4,1,36,96
4,0,42,42
1,11,28,688
1,10,53,653
1,0,14,14
2,1,42,102
2,1,38,98
2,1,34,94
2,1,26,86
3,12,54,774
3,12,21,741
3,11,44,704
3,11,40,700
3,11,20,680
3,10,46,646
3,9,55,595
3,9,51,591
3,9,13,553
3,8,40,520
3,4,12,252
3,3,32,212
3,2,18,138
3,2,15,135
3,1,30,90
3,0,43,43
4,13,40,820
4,13,3,783
4,12,58,778
2,6,53,413
2,0,18,18
3,10,15,615
3,10,3,603
3,2,1,121
3,1,16,76
3,0,56,56
3,0,20,20
3,0,15,15
4,15,0,900
4,14,14,854
4,14,3,843
4,13,58,838
4,13,30,810
4,13,27,807
4,13,36,816
4,13,31,811
4,13,25,805
4,2,12,132
2,12,31,751
2,10,58,658
2,2,32,152
1,13,14,794
1,12,31,751
1,9,48,588
1,9,6,546
1,9,2,542
1,7,44,464
2,14,25,865
2,13,43,823
2,13,6,786
2,12,26,746
3,6,44,404
3,6,19,379
3,5,47,347
4,4,37,277
1,9,5,545
1,8,22,502
1,7,41,461
1,7,37,457
1,5,23,323
1,4,42,282
1,3,57,237
1,2,38,158
3,12,51,771
3,12,45,765
3,10,42,642
4,10,47,647
4,4,59,299
4,4,53,293
4,4,10,250
4,3,39,219
4,3,21,201
1,12,25,745
1,11,42,702
1,3,33,213
2,8,23,503
2,1,37,97
2,1,5,65
3,2,49,169
3,0,50,50
3,0,27,27
4,8,40,520
1,8,36,516
1,8,10,490
1,7,53,473
3,11,39,699
3,4,39,279
3,4,36,276
3,4,32,272
4,11,19,679
4,9,56,596
4,9,17,557
4,8,37,517
4,7,49,469
4,5,57,357
4,5,22,322
4,4,45,285
5,4,36,276
5,3,57,237
1,10,47,647
1,8,23,503
1,7,35,455
1,6,56,416
1,6,19,379
1,5,41,341
4,0,27,27
3,9,31,571
3,8,50,530
1,5,18,318
2,12,34,754
1,5,5,305
3,6,32,392
3,5,51,351
3,5,15,315
3,5,10,310
3,4,30,270
3,3,26,206
3,2,52,172
3,2,14,134
3,1,11,71
4,11,39,699
4,10,9,609
4,9,25,565
4,8,38,518
4,1,33,93
4,1,27,87
4,1,0,60
4,0,53,53
1,2,54,174
1,2,10,130
4,1,46,106
4,4,56,296
4,5,2,302
4,5,40,340
4,6,22,382
4,7,0,420
4,7,40,460
4,10,2,602
4,10,8,608
4,10,52,652
4,11,34,694
4,12,14,734
4,12,56,776
4,13,39,819
4,14,21,861
3,0,18,18
3,0,24,24
3,1,2,62
3,4,0,240
3,4,45,285
3,4,50,290
3,5,31,331
3,6,13,373
3,6,17,377
3,6,55,415
3,7,40,460
3,8,18,498
3,8,57,537
3,9,33,573
3,10,8,608
3,10,44,644
3,11,24,684
3,11,59,719
3,12,43,763
3,13,21,801
3,13,59,839
3,14,24,864
2,0,2,2
4,2,59,179
4,3,4,184
3,14,12,852
3,14,18,858
2,0,8,8
2,0,15,15
2,0,35,35
4,3,12,192
4,3,18,198
4,0,38,38
4,1,54,114
4,3,0,180
4,3,9,189
4,3,13,193
4,3,20,200
4,4,4,244
4,4,42,282
4,5,21,321
4,9,48,588
4,9,52,592
4,10,25,625
4,11,10,670
4,11,54,714
4,12,17,737
4,12,59,779
4,13,41,821
4,14,18,858
3,0,46,46
3,1,24,84
3,2,6,126
3,3,37,217
3,3,47,227
3,3,51,231
3,4,26,266
3,5,12,312
3,10,33,633
3,10,40,640
3,12,47,767
2,0,6,6
2,0,16,16
2,0,25,25
2,0,31,31
2,1,57,117
2,2,19,139
2,2,23,143
2,2,59,179
2,3,48,228
2,4,33,273
2,7,6,426
2,7,11,431
2,7,51,471
2,11,10,670
2,11,54,714
2,12,35,755
2,12,42,762
2,13,31,811
1,1,5,65
1,2,59,179
1,5,8,308
1,5,12,312
1,5,57,357
1,6,34,394
1,7,18,438
1,10,54,654
1,11,9,669
1,11,14,674
1,11,20,680
1,12,16,736
4,0,0,0
4,0,20,20
4,1,59,119
4,2,4,124
4,2,7,127
4,3,28,208
4,7,16,436
4,7,21,441
4,7,59,479
4,8,39,519
4,9,20,560
4,13,42,822
3,5,9,309
2,2,31,151
2,3,19,199
3,0,17,17
3,0,22,22
3,1,4,64
3,1,45,105
3,2,27,147
3,3,4,184
3,4,3,243
3,7,42,462
3,9,56,596
3,12,18,738
4,6,13,373
2,8,30,510
2,7,45,465
2,7,4,424
2,5,44,344
3,5,2,302
4,1,44,104
1,9,13,553
2,0,11,11
2,0,44,44
2,1,43,103
2,1,46,106
2,1,49,109
2,1,54,114
2,2,14,134
2,2,52,172
2,4,18,258
2,4,31,271
4,4,55,295
4,5,58,358
4,6,32,392
4,7,9,429
4,7,29,449
4,7,52,472
4,7,55,475
4,8,15,495
4,8,18,498
4,8,45,525
4,10,55,655
4,11,44,704
2,7,58,478
2,8,45,525
2,9,28,568
2,10,11,611
2,10,48,648
2,11,36,696
2,14,57,897
2,4,12,252
2,4,53,293
2,5,27,327
2,6,13,373
2,7,0,420
2,9,38,578
2,10,31,631
2,14,8,848
1,0,24,24
1,2,57,177
1,4,56,296
1,5,14,314
1,5,44,344
1,6,22,382
1,6,55,415
1,6,59,419
1,7,40,460
1,8,13,493
1,8,47,527
1,9,19,559
1,9,49,589
4,2,20,140
4,2,23,143
4,2,27,147
4,3,16,196
4,3,58,238
4,4,46,286
4,4,54,294
4,10,13,613
4,10,56,656
4,12,9,729
4,12,42,762
4,14,11,851
4,14,53,893
3,1,15,75
3,1,20,80
3,2,7,127
3,2,41,161
3,3,15,195
3,6,3,363
3,6,48,408
3,11,33,693
3,11,45,705
3,12,26,746
3,12,58,778
2,1,0,60
2,1,47,107
2,1,53,113
3,0,40,40
3,3,25,205
3,3,30,210
3,3,34,214
3,4,20,260
3,4,27,267
2,7,9,429
2,7,14,434
2,7,16,436
2,7,47,467
2,7,53,473
2,8,41,521
2,9,23,563
2,10,34,634
2,10,44,644
2,12,53,773
2,13,35,815
2,14,18,858
2,0,39,39
2,1,14,74
2,1,40,100
2,12,29,749
2,13,12,792
2,13,50,830
1,0,18,18
3,7,1,421
3,8,43,523
3,11,11,671
3,13,11,791
2,0,26,26
2,1,13,73
2,1,19,79
2,3,0,180
2,3,50,230
2,4,40,280
2,6,7,367
2,6,19,379
2,6,25,385
2,7,8,428
2,8,18,498
2,9,32,572
2,9,35,575
2,9,40,580
2,10,53,653
2,11,43,703
2,12,23,743
1,6,1,361
1,6,41,401
1,7,20,440
1,8,45,525
1,10,30,630
1,0,15,15
1,0,22,22
1,1,44,104
4,1,39,99
4,1,34,94
1,10,24,624
1,9,44,584
2,10,29,629
2,7,13,433
1,10,48,648
1,3,48,228
1,3,12,192
1,2,32,152
3,0,54,54
4,12,13,733
4,11,46,706
4,8,14,494
4,7,33,453
4,7,28,448
1,4,38,278
1,3,53,233
1,3,49,229
1,0,59,59
2,13,1,781
2,12,24,744
2,4,13,253
2,3,33,213
2,1,31,91
4,4,34,274
4,4,27,267
4,4,23,263
3,12,34,754
3,12,3,723
3,11,14,674
2,0,41,41
2,0,37,37
2,0,34,34
3,9,49,589
3,9,4,544
3,8,55,535
3,6,5,365
3,4,25,265
4,11,4,664
4,10,27,627
4,9,51,591
4,1,47,107
4,1,41,101
4,0,22,22
4,0,1,1
1,10,21,621
1,9,38,578
2,3,16,196
2,2,34,154
2,2,28,148
3,13,23,803
3,12,4,724
3,11,18,678
3,8,27,507
3,7,52,472
3,7,11,431
3,6,27,387
3,2,39,159
3,2,11,131
3,1,38,98
3,1,1,61
3,0,21,21
4,14,20,860
2,5,12,312
2,4,26,266
2,3,47,227
2,1,50,110
2,1,45,105
3,6,10,370
3,5,43,343
3,5,13,313
4,11,18,678
4,10,39,639
4,3,1,181
4,0,13,13
1,11,57,717
1,11,16,676
1,10,31,631
2,0,46,46
3,0,34,34
4,1,57,117
4,0,41,41
4,0,14,14
1,5,37,337
1,5,32,332
1,5,29,329
1,5,24,324
1,4,35,275
1,0,58,58
3,1,23,83
3,0,44,44
1,9,15,555
1,8,38,518
1,8,32,512
2,5,38,338
2,4,58,298
2,4,21,261
2,4,16,256
3,11,10,670
3,10,35,635
3,9,24,564
3,7,22,442
4,6,38,398
4,5,30,330
4,5,26,326
4,2,56,176
4,2,43,163
1,12,11,731
1,11,31,691
1,10,12,612
1,10,8,608
1,9,29,569
1,6,42,402
2,6,44,404
2,6,0,360
2,4,3,243
2,3,27,207
4,4,13,253
4,3,31,211
4,2,37,157
4,1,26,86
1,13,3,783
1,12,26,746
1,11,40,700
1,11,2,662
1,10,22,622
1,9,42,582
2,5,8,308
2,4,24,264
2,3,43,223
2,3,4,184
2,2,16,136
4,11,28,688
4,6,16,376
4,5,34,334
4,1,37,97
4,10,38,638
4,8,50,530
4,8,10,490
4,7,25,445
1,9,52,592
2,8,5,485
3,8,42,522
3,7,55,475
3,7,5,425
2,13,28,808
4,14,17,857
4,4,48,288
4,4,44,284
2,6,33,393
2,6,28,388
2,6,23,383
3,5,57,357
2,13,24,804
2,13,19,799
2,7,5,425
2,6,30,390
2,5,46,346
2,5,5,305
3,3,3,183
3,2,21,141
3,1,39,99
4,7,14,434
4,5,44,344
1,12,30,750
4,4,24,264
2,1,9,69
2,4,19,259
2,0,7,7
2,0,48,48
