season_year,iso_week,defense_team,opponent_team,position,points_allowed_ppr,points_allowed_halfppr,points_allowed_nonppr
2024,1,1,4,QB,31.18,31.18,31.18
2024,1,1,4,RB/WR/TE,63.699999999999996,54.699999999999996,45.699999999999996
2024,1,10,28,QB,17.84,17.84,17.84
2024,1,10,28,RB/WR/TE,58.8,49.8,40.8
2024,1,11,17,QB,14.68,14.68,14.68
2024,1,11,17,RB/WR/TE,86.0,69.0,52.0
2024,1,12,26,QB,16.42,16.42,16.42
2024,1,12,26,RB/WR/TE,82.9,72.9,62.9
2024,1,13,14,QB,26.08,26.08,26.08
2024,1,13,14,RB/WR/TE,53.0,48.5,44.0
2024,1,14,13,QB,18.66,18.66,18.66
2024,1,14,13,RB/WR/TE,85.6,73.6,61.6
2024,1,15,20,QB,18.62,18.62,18.62
2024,1,15,20,RB/WR/TE,75.8,64.3,52.8
2024,1,16,3,QB,25.12,25.12,25.12
2024,1,16,3,RB/WR/TE,71.6,58.6,45.6
2024,1,17,11,QB,11.38,11.38,11.38
2024,1,17,11,RB/WR/TE,73.3,64.3,55.3
2024,1,18,19,QB,10.78,10.78,10.78
2024,1,18,19,RB/WR/TE,62.3,49.8,37.3
2024,1,19,18,QB,10.36,10.36,10.36
2024,1,19,18,RB/WR/TE,60.4,51.9,43.4
2024,1,2,27,QB,11.96,11.96,11.96
2024,1,2,27,RB/WR/TE,41.4,32.900000000000006,24.400000000000002
2024,1,20,15,QB,11.28,11.28,11.28
2024,1,20,15,RB/WR/TE,50.199999999999996,44.2,38.2
2024,1,21,24,QB,4.94,4.94,4.94
2024,1,21,24,RB/WR/TE,47.3,36.3,25.3
2024,1,22,7,QB,8.06,8.06,8.06
2024,1,22,7,RB/WR/TE,46.9,36.4,25.900000000000002
2024,1,23,5,QB,10.14,10.14,10.14
2024,1,23,5,RB/WR/TE,31.2,24.7,18.2
2024,1,24,21,QB,14.62,14.62,14.62
2024,1,24,21,RB/WR/TE,66.6,57.1,47.6
2024,1,25,29,QB,10.24,10.24,10.24
2024,1,25,29,RB/WR/TE,71.7,62.2,52.7
2024,1,26,12,QB,16.4,16.4,16.4
2024,1,26,12,RB/WR/TE,77.30000000000001,68.80000000000001,60.3
2024,1,27,2,QB,4.2,4.2,4.2
2024,1,27,2,RB/WR/TE,46.4,38.4,30.400000000000002
2024,1,28,10,QB,9.06,9.06,9.06
2024,1,28,10,RB/WR/TE,46.4,33.4,20.4
2024,1,29,25,QB,14.759999999999998,14.759999999999998,14.759999999999998
2024,1,29,25,RB/WR/TE,61.599999999999994,52.1,42.6
2024,1,3,16,QB,15.14,14.64,14.14
2024,1,3,16,RB/WR/TE,72.8,63.300000000000004,53.800000000000004
2024,1,30,32,QB,28.28,28.28,28.28
2024,1,30,32,RB/WR/TE,47.4,38.9,30.4
2024,1,31,6,QB,5.22,5.22,5.22
2024,1,31,6,RB/WR/TE,30.200000000000003,23.2,16.2
2024,1,32,30,QB,29.82,29.82,29.82
2024,1,32,30,RB/WR/TE,87.1,75.1,63.099999999999994
2024,1,4,1,QB,14.18,14.18,14.18
2024,1,4,1,RB/WR/TE,55.9,45.4,34.9
2024,1,5,23,QB,21.7,21.7,21.7
2024,1,5,23,RB/WR/TE,85.3,75.8,66.3
2024,1,6,31,QB,6.68,6.68,6.68
2024,1,6,31,RB/WR/TE,54.1,44.6,35.1
2024,1,7,22,QB,8.04,8.04,8.04
2024,1,7,22,RB/WR/TE,46.9,39.4,31.9
2024,1,8,9,QB,11.360000000000001,11.360000000000001,11.360000000000001
2024,1,8,9,RB/WR/TE,60.1,50.6,41.1
2024,1,9,8,QB,10.66,10.66,10.66
2024,1,9,8,RB/WR/TE,58.3,46.3,34.300000000000004
2024,2,1,17,QB,6.64,6.64,6.64
2024,2,1,17,RB/WR/TE,51.9,42.4,32.9
2024,2,10,27,QB,11.38,11.38,11.38
2024,2,10,27,RB/WR/TE,42.3,35.8,29.299999999999997
2024,2,11,30,QB,18.8,18.8,18.8
2024,2,11,30,RB/WR/TE,40.099999999999994,34.099999999999994,28.099999999999998
2024,2,12,14,QB,9.86,9.86,9.86
2024,2,12,14,RB/WR/TE,53.7,45.2,36.7
2024,2,13,6,QB,7.4,7.4,7.4
2024,2,13,6,RB/WR/TE,49.2,37.7,26.2
2024,2,14,12,QB,12.98,12.98,12.98
2024,2,14,12,RB/WR/TE,51.3,45.3,39.3
2024,2,15,8,QB,15.34,15.34,15.34
2024,2,15,8,RB/WR/TE,52.2,41.2,30.2
2024,2,16,7,QB,17.12,17.12,17.12
2024,2,16,7,RB/WR/TE,67.4,55.9,44.4
2024,2,17,1,QB,26.74,26.74,26.74
2024,2,17,1,RB/WR/TE,91.2,82.7,74.2
2024,2,18,5,QB,1.96,1.96,1.96
2024,2,18,5,RB/WR/TE,34.8,25.8,16.8
2024,2,19,3,QB,16.38,16.38,16.38
2024,2,19,3,RB/WR/TE,68.5,58.0,47.5
2024,2,2,26,QB,23.86,23.86,23.86
2024,2,2,26,RB/WR/TE,58.7,47.2,35.699999999999996
2024,2,20,4,QB,9.66,9.66,9.66
2024,2,20,4,RB/WR/TE,55.6,49.1,42.6
2024,2,21,29,QB,13.96,13.96,13.96
2024,2,21,29,RB/WR/TE,80.9,66.9,52.9
2024,2,22,28,QB,17.88,17.88,17.88
2024,2,22,28,RB/WR/TE,81.5,65.0,48.49999999999999
2024,2,23,9,QB,13.120000000000001,13.120000000000001,13.120000000000001
2024,2,23,9,RB/WR/TE,69.4,55.4,41.4
2024,2,24,32,QB,13.48,13.48,13.48
2024,2,24,32,RB/WR/TE,62.8,51.3,39.8
2024,2,25,31,QB,11.48,11.48,11.48
2024,2,25,31,RB/WR/TE,59.4,49.9,40.4
2024,2,26,2,QB,17.54,17.54,17.54
2024,2,26,2,RB/WR/TE,71.4,61.4,51.4
2024,2,27,10,QB,8.26,8.26,8.26
