season_year,iso_week,defense_team,opponent_team,position,points_allowed
2024,1,ARI,SF,QB,24.040000000000003
2024,1,ARI,SF,RB,12.9
2024,1,ARI,SF,WR/TE,44.1
2024,1,ATL,CAR,QB,50.339999999999996
2024,1,ATL,CAR,RB,29.9
2024,1,ATL,CAR,WR/TE,41.86
2024,1,BAL,CLE,QB,7.82
2024,1,BAL,CLE,RB,7.3999999999999995
2024,1,BAL,CLE,WR/TE,22.0
2024,1,BUF,NE,QB,19.24
2024,1,BUF,NE,RB,8.1
2024,1,BUF,NE,WR/TE,28.1
2024,1,CAR,ATL,QB,24.98
2024,1,CAR,ATL,RB,65.5
2024,1,CAR,ATL,WR/TE,41.199999999999996
2024,1,CHI,GB,QB,5.74
2024,1,CHI,GB,RB,29.6
2024,1,CHI,GB,WR/TE,17.0
2024,1,CIN,PIT,QB,11.56
2024,1,CIN,PIT,RB,25.3
2024,1,CIN,PIT,WR/TE,21.4
2024,1,CLE,BAL,QB,23.38
2024,1,CLE,BAL,RB,28.099999999999998
2024,1,CLE,BAL,WR/TE,33.3
2024,1,DAL,WAS,QB,35.36
2024,1,DAL,WAS,RB,6.4
2024,1,DAL,WAS,WR/TE,30.1
2024,1,DEN,KC,QB,8.719999999999999
2024,1,DEN,KC,RB,3.0
2024,1,DEN,KC,WR/TE,9.299999999999999
2024,1,DET,MIN,QB,7.64
2024,1,DET,MIN,RB,21.3
2024,1,DET,MIN,WR/TE,18.6
2024,1,DET,SF,QB,38.46
2024,1,DET,SF,RB,9.9
2024,1,DET,SF,WR/TE,55.1
2024,1,GB,CHI,QB,23.08
2024,1,GB,CHI,RB,14.4
2024,1,GB,CHI,WR/TE,29.6
2024,1,HOU,TEN,QB,13.100000000000001
2024,1,HOU,TEN,RB,7.5
2024,1,HOU,TEN,WR/TE,30.2
2024,1,IND,JAX,QB,12.46
2024,1,IND,JAX,RB,19.0
2024,1,IND,JAX,WR/TE,43.96
2024,1,JAX,IND,QB,14.56
2024,1,JAX,IND,RB,49.0
2024,1,JAX,IND,WR/TE,31.1
2024,1,KC,DEN,QB,41.14
2024,1,KC,DEN,RB,22.9
2024,1,KC,DEN,WR/TE,58.300000000000004
2024,1,LA,SEA,QB,26.32
2024,1,LA,SEA,RB,14.0
2024,1,LA,SEA,WR/TE,43.5
2024,1,LAC,LV,QB,16.3
2024,1,LAC,LV,RB,3.3000000000000003
2024,1,LAC,LV,WR/TE,33.800000000000004
2024,1,LV,LAC,QB,26.04
2024,1,LV,LAC,RB,16.799999999999997
2024,1,LV,LAC,WR/TE,45.3
2024,1,MIA,NYJ,QB,27.26
2024,1,MIA,NYJ,RB,22.099999999999998
2024,1,MIA,NYJ,WR/TE,58.4
2024,1,MIN,DET,QB,9.24
2024,1,MIN,DET,RB,48.3
2024,1,MIN,DET,WR/TE,20.0
2024,1,NE,BUF,QB,10.48
2024,1,NE,BUF,RB,21.7
2024,1,NE,BUF,WR/TE,15.3
2024,1,NO,TB,QB,21.64
2024,1,NO,TB,RB,16.3
2024,1,NO,TB,WR/TE,35.2
2024,1,NYG,PHI,QB,18.86
2024,1,NYG,PHI,RB,11.4
2024,1,NYG,PHI,WR/TE,34.9
2024,1,NYJ,MIA,QB,8.76
2024,1,NYJ,MIA,RB,19.300000000000004
2024,1,NYJ,MIA,WR/TE,27.1
2024,1,PHI,NYG,QB,7.52
2024,1,PHI,NYG,RB,9.1
2024,1,PHI,NYG,WR/TE,20.200000000000003
2024,1,PIT,CIN,QB,12.98
2024,1,PIT,CIN,RB,16.6
2024,1,PIT,CIN,WR/TE,32.3
2024,1,SEA,LA,QB,19.86
2024,1,SEA,LA,RB,11.0
2024,1,SEA,LA,WR/TE,51.8
2024,1,SF,ARI,QB,28.08
2024,1,SF,ARI,RB,23.9
2024,1,SF,ARI,WR/TE,58.3
2024,1,SF,DET,QB,22.18
2024,1,SF,DET,RB,45.4
2024,1,SF,DET,WR/TE,41.5
2024,1,TB,NO,QB,22.7
2024,1,TB,NO,RB,8.7
2024,1,TB,NO,WR/TE,31.2
2024,1,TEN,HOU,QB,12.219999999999999
2024,1,TEN,HOU,RB,27.4
2024,1,TEN,HOU,WR/TE,22.2
2024,1,WAS,DAL,QB,12.36
2024,1,WAS,DAL,RB,18.1
2024,1,WAS,DAL,WR/TE,27.1
2024,36,ARI,BUF,QB,31.18
2024,36,ARI,BUF,RB,14.5
2024,36,ARI,BUF,WR/TE,33.099999999999994
2024,36,ATL,PIT,QB,11.96
2024,36,ATL,PIT,RB,19.1
2024,36,ATL,PIT,WR/TE,13.200000000000001
2024,36,BAL,KC,QB,14.14
2024,36,BAL,KC,RB,14.100000000000001
2024,36,BAL,KC,WR/TE,39.7
2024,36,BUF,ARI,QB,14.18
2024,36,BUF,ARI,RB,18.700000000000003
2024,36,BUF,ARI,WR/TE,16.2
2024,36,CAR,NO,QB,30.3
2024,36,CAR,NO,RB,32.4
2024,36,CAR,NO,WR/TE,48.2
2024,36,CHI,TEN,QB,8.28
2024,36,CHI,TEN,RB,18.6
2024,36,CHI,TEN,WR/TE,17.3
2024,36,CIN,NE,QB,8.04
2024,36,CIN,NE,RB,20.4
2024,36,CIN,NE,WR/TE,11.5
2024,36,CLE,DAL,QB,11.360000000000001
2024,36,CLE,DAL,RB,14.5
2024,36,CLE,DAL,WR/TE,28.4
2024,36,DAL,CLE,QB,10.66
2024,36,DAL,CLE,RB,15.9
2024,36,DAL,CLE,WR/TE,20.0
2024,36,DEN,SEA,QB,17.84
2024,36,DEN,SEA,RB,27.1
2024,36,DEN,SEA,WR/TE,13.7
2024,36,DET,LA,QB,14.68
2024,36,DET,LA,RB,13.0
2024,36,DET,LA,WR/TE,46.900000000000006
2024,36,GB,PHI,QB,16.42
2024,36,GB,PHI,RB,32.4
2024,36,GB,PHI,WR/TE,30.5
2024,36,HOU,IND,QB,26.08
2024,36,HOU,IND,RB,21.6
2024,36,HOU,IND,WR/TE,33.2
